,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team
6,2020-10-21,18:55,Champions Lg,Group stage,Wed,Home,D,2,2,ru Loko Moscow,1.1,0.8,55.0,3000.0,Andreas Ulmer,4-4-2,4-4-2,Serdar Gözübüyük,Match Report,,2023,Red Bull Salzburg
8,2020-10-27,21:00,Champions Lg,Group stage,Tue,Away,L,2,3,es Atlético Madrid,1.1,2.5,50.0,,Andreas Ulmer,4-2-3-1,4-4-2,Ovidiu Hațegan,Match Report,,2023,Red Bull Salzburg
10,2020-11-03,21:00,Champions Lg,Group stage,Tue,Home,L,2,6,de Bayern Munich,1.8,2.9,41.0,,Andreas Ulmer,4-3-2-1,4-2-3-1,Danny Makkelie,Match Report,,2023,Red Bull Salzburg
13,2020-11-25,21:00,Champions Lg,Group stage,Wed,Away,L,1,3,de Bayern Munich,3.3,1.3,41.0,,Andreas Ulmer,4-2-3-1,4-2-3-1,Orel Grinfeeld,Match Report,,2023,Red Bull Salzburg
15,2020-12-01,20:55,Champions Lg,Group stage,Tue,Away,W,3,1,ru Loko Moscow,2.4,1.1,49.0,6759.0,Andreas Ulmer,4-4-2,3-4-1-2,Ali Palabıyık,Match Report,,2023,Red Bull Salzburg
17,2020-12-09,21:00,Champions Lg,Group stage,Wed,Home,L,0,2,es Atlético Madrid,1.4,0.6,57.0,,Andreas Ulmer,4-1-2-1-2◆,3-1-4-2,Anthony Taylor,Match Report,,2023,Red Bull Salzburg
11,2020-10-21,18:55,Champions Lg,Group stage,Wed,Away,D,2,2,at RB Salzburg,0.8,1.1,45.0,3000.0,Vedran Ćorluka,4-4-2,4-4-2,Serdar Gözübüyük,Match Report,,2023,Lokomotiv Moscow
13,2020-10-27,20:55,Champions Lg,Group stage,Tue,Home,L,1,2,de Bayern Munich,1.5,3.2,36.0,8196.0,Vedran Ćorluka,4-3-2-1,4-2-3-1,István Kovács,Match Report,,2023,Lokomotiv Moscow
15,2020-11-03,20:55,Champions Lg,Group stage,Tue,Home,D,1,1,es Atlético Madrid,0.9,1.0,35.0,8147.0,Guilherme Marinato,4-4-2,4-3-2-1,Benoît Bastien,Match Report,,2023,Lokomotiv Moscow
18,2020-11-25,21:00,Champions Lg,Group stage,Wed,Away,D,0,0,es Atlético Madrid,0.2,1.6,35.0,,Vedran Ćorluka,4-5-1,4-4-2,Slavko Vinčič,Match Report,,2023,Lokomotiv Moscow
20,2020-12-01,20:55,Champions Lg,Group stage,Tue,Home,L,1,3,at RB Salzburg,1.1,2.4,51.0,6759.0,Vedran Ćorluka,3-4-1-2,4-4-2,Ali Palabıyık,Match Report,,2023,Lokomotiv Moscow
22,2020-12-09,21:00,Champions Lg,Group stage,Wed,Away,L,0,2,de Bayern Munich,0.4,1.7,31.0,,Vedran Ćorluka,4-3-2-1,4-2-3-1,Sandro Schärer,Match Report,,2023,Lokomotiv Moscow
